PortID,PortCode,PortName
1,INABG1,Alibag
2,INACH1,Achra
3,INADA6,Ahmedabad Adalaj
4,INADI1,Androth Island
5,INAGI1,Agatti Island
6,INAGR4,Agra
7,INAGR5,FPO AGRA
8,INAGR6,Agra
9,INAGTB,Agartala
10,INAGX4,Agatti Island
11,INAHD6,ICD SANAND
12,INAIG6,GE PVT. LTD.
13,INAII6,M/S IGATE GS LTD.
14,INAIK6,IBRAHIMPURICD KHURJA
15,INAIR6,SP PVT. LTD.
16,INAJE6,WLSPUN ANJAR SEZ
17,INAJJ6,Arakkonam Melpakkam
18,INAJL4,Aizawl
19,INAJM6,MUNDRA PORT SEZ
20,INAKB6,BIACPL SEZ
21,INAKD4,Akola
22,INAKP6,APIICL SEZ
23,INAKR6,RPCIPL SEZ
24,INAKV6,Ankleshwar ICD
25,INALA1,ALANG SBY
26,INALF1,Allepey
27,INAMD4,Ahmedabad
28,INAMD5,Ahmedabad
29,INAMD6,Ahmedabad
30,INAMG6,Amingaon (Gauhati)
31,INAMI1,Amini Island
32,INAMK6,KSITIL/SEZ/ALAPPUZHA
33,INANG1,Anijengo
34,INANL1,Arnala
35,INAPI6,AAP-SEZ AHMEDABAD
36,INAPL6,Dadri ACPL CFS
37,INAPT6,Anaparti
38,INARR6,Aroor
39,INASR2,Amritsar Railway Stn
40,INASR6,Amritsar
41,INATQ4,Amritsar
42,INATQ6,Amritsar
43,INATRB,Attari Road
44,INATT2,Attari Railway Stat
45,INAWM6,"SEZ, SHENDRA"
46,INAWS6,SOMANI SEZ BHIWADI
47,INAWW6,"WIDL AEZ, AURANGABAD"
48,INAZK1,Azhikkal
49,INBAG6,GEM&JEWEL-SEZ/ULWE
50,INBAI6,IT/ITES-B-SEZ/ULWE
51,INBAM6,MULTISERVCE-SEZ/ULWE
52,INBAP6,MULTISERVICEDRONAGIR
53,INBAT6,IT/ITES-C SEZ/UIWE
54,INBAU6,IT/ITES-A-SEZ/ULWE
55,INBAW6,ICD BAWAL
56,INBBI4,Bhubaneswar
57,INBBM6,Bari Brahamna ICD
58,INBBP1,Bahabal Pur
59,INBBS6,"SEZ, OIIDC, BHUBANES"
60,INBCH6,HARI SEZ VARANASI
61,INBCO6,EURO MULTIVISION SEZ
62,INBCP6,PRITECH/SEZ/BANGLORE
63,INBDB6,PRECIOUSCARGOCUSTOMS
64,INBDG1,Badagara
65,INBDH6,ICD BADOHI
66,INBDI6,"ICD BADDI,"
67,INBDM6,"ICD, PANCHI, SONIPAT"
68,INBDQ1,Vadodara
69,INBDR1,Baindur
70,INBED1,Bedi
71,INBEK4,Bareilly
72,INBEP4,Bellary
73,INBET1,Betul
74,INBEY1,Beypore
75,INBFR6,"M/S GRFL, ICD, BALLA"
76,INBGK6,Bhagat ki Kothi Jodh
77,INBGMB,Baghmara
78,INBGQ6,QUEST SEZ BELGAUM
79,INBGUB,Bairgania
80,INBGW1,Bhagwa
81,INBHC6,JUBILANT/SEZ/VILAYAT
82,INBHD6,DAHEZ SEZ
83,INBHJ4,Bhuj
84,INBHL6,Bhilwara
85,INBHM1,Bheemunipatnam
86,INBHO4,Bhopal
87,INBHS6,STERLING BHARUCH
88,INBHU1,Bhavanagar
89,INBHU4,Bhavanagar
90,INBKB4,Bikaner
91,INBKR1,Belekeri
92,INBKT1,Bankot
93,INBLC6,CESSNA/SEZ/BANGALORE
94,INBLE6,CONCOR ICD BALASORE
95,INBLJ6,Agra
96,INBLK1,Belekeri
97,INBLM1,Bilimora
98,INBLP1,Belapur
99,INBLR4,Bangalore
100,INBLR5,Bangalore
101,INBLR6,Bangalore
102,INBLTB,Balet
103,INBLV6,VTV/SEZ/BANGALORE
104,INBMA6,APIIC PRAKASHAM
105,INBMR2,Barmer Railway Stati
106,INBNC6,KBITS SEZ BANGALORE
107,INBND1,Bandra
108,INBNG6,"MAHAGAON ICD, THANE"
109,INBNK6,KOLKATA IT PARK
110,INBNP1,Bheemunipatnam
111,INBNRB,Bhimnagar
112,INBNT6,TCS
113,INBNW6,WIPRO SEZ
114,INBNX6,"CANDOR ONE HTSPL,SEZ"
115,INBNYB,Berhni
116,INBOK6,BORKHEDI ICD NAGPUR
117,INBOLB,Bolanganj
118,INBOM1,Mumbai (Ex Bombay)
119,INBOM4,Mumbai (Ex Bombay)
120,INBOM5,Mumbai (Ex Bombay)
121,INBOM6,Mumbai(EPZ/SEZ)
122,INBPL5,BHOPAL FPO
123,INBPS5,APSO MUMBAI
124,INBRAB,Barsora
125,INBRC6,Baroda
126,INBRH1,Broach
127,INBRI6,RNBIPL SEZ BIKANER
128,INBRL6,L & T/SEZ/VADODARA
129,INBRM1,Borlai ¨ Mandla
130,INBRS6,S E & C/SEZ/WAGHODIA
131,INBRY1,Borya
132,INBSAB,Banbasa
133,INBSB6,Varanasi
134,INBSL6,Bhusaval ICD
135,INBSN1,Bassein
136,INBSR1,Bulsar
137,INBSW6,AFS KAPASHERA
138,INBTK1,Bhatkal
139,INBTMB,Bhithamore(Sursnad)
140,INBTR1,Bitra Island
141,INBUD1,Budge-Budge
142,INBUL6,AN FTWZ BULANDSHAHR
143,INBUP4,Bhatinda
144,INBUP6,Bhatinda
145,INBVC6,CONCR-ICD/BALLABGARH
146,INBWD6,Bhiwadi
147,INBWN1,Bhiwandi
148,INBXR6,"DLF LTD., SEZ"
149,INBYT1,Beyt
150,INCAG6,TATA STEEL SEZGANJAM
151,INCAM1,Cambay
152,INCAP1,Calingapatam
153,INCAR1,Carijam
154,INCAS6,SAPL SEZ/ GANJAM
155,INCBC6,CHIPL SEZ/ COIMBATOR
156,INCBD4,Car Nicobar
157,INCBDB,Changrabandh
158,INCBE6,COIMBATORE
159,INCBL1,Chandbali
160,INCBS6,SE&C COIMBATORE
161,INCCH6,Chinchwad ICD
162,INCCI6,WIPRO SEZ HINJEWADI
163,INCCJ1,Kozhikode (ex Calicu
164,INCCJ4,Kozhikode (ex Calicu
165,INCCP6,"PEPPL SEZ, CHINCHWAD"
166,INCCQ6,M/S QB PARK LTD.
167,INCCT6,KINFRAFP SEZ
168,INCCU1,Calcutta
169,INCCU4,Calcutta
170,INCCU5,Calcutta
171,INCCW6,WIPRO LTD.
172,INCDC6,RGT PARK (PHASE-II)
173,INCDD6,RGT PARK (PHASE-I)
174,INCDL1,Cuddalore
175,INCDP1,Coondapur (Ganguly)
176,INCDP4,Cuddapah
177,INCDP6,M/S APIIC LTD SEZ.
178,INCDQ6,QUARKCITY/SEZ/MOHALI
179,INCDR6,SUN PHARMACEUTICALS
180,INCEC6,L&T AE IT SEZ PVT.
181,INCGA6,MWCD APARELS CHENGPA
182,INCGE6,ETA TECH. PVT. LTD.
183,INCGI6,MWCD SEZ CHENGALPATU
184,INCGL6,MWCD AUTO ANCILARIES
